Year-month-day_hour;#ibm;#aapl;#msft;#facebook
2013-05-10_12;54;5;120;846
2013-05-10_13;70;5;126;972
2013-05-10_14;87;10;151;1038
2013-05-10_15;87;7;146;991
2013-05-10_16;84;7;134;1004
2013-05-10_17;68;5;150;969
2013-05-10_18;49;4;117;825
2013-05-10_19;54;5;144;884
2013-05-10_20;46;6;119;871
2013-05-10_21;38;11;85;903
2013-05-10_22;20;2;112;718
2013-05-10_23;19;4;68;677
2013-05-11_00;11;2;72;690
2013-05-11_01;8;1;68;578
2013-05-11_02;15;2;66;475
2013-05-11_03;8;2;64;488
2013-05-11_04;7;0;40;449
2013-05-11_05;6;1;44;410
2013-05-11_06;6;0;47;438
2013-05-11_07;14;2;39;444
2013-05-11_08;18;0;50;412
2013-05-11_09;17;0;45;430
2013-05-11_10;7;0;53;377
2013-05-11_11;9;2;56;511
2013-05-11_12;17;2;74;538
2013-05-11_13;10;0;88;652
2013-05-11_14;12;1;85;745
2013-05-11_15;29;1;70;692
2013-05-11_16;18;1;84;695
2013-05-11_17;9;0;74;763
2013-05-11_18;10;12;89;813
2013-05-11_19;7;6;72;774
2013-05-11_20;7;0;61;688
2013-05-11_21;7;6;50;712
2013-05-11_22;11;1;52;720
2013-05-11_23;6;6;62;601
2013-05-12_00;9;8;29;435
2013-05-12_01;7;1;32;431
2013-05-12_02;4;10;51;474
2013-05-12_03;5;3;43;413
2013-05-12_04;6;9;32;411
2013-05-12_05;4;0;43;393
2013-05-12_06;0;1;34;330
2013-05-12_07;4;3;37;352
2013-05-12_08;16;0;54;481
2013-05-12_09;8;0;45;439
2013-05-12_10;4;1;36;495
2013-05-12_11;10;1;53;456
2013-05-12_12;8;2;37;560
2013-05-12_13;10;1;40;542
2013-05-12_14;9;2;66;588
2013-05-12_15;9;4;74;654
2013-05-12_16;15;10;53;806
2013-05-12_17;11;6;81;768
2013-05-12_18;7;2;54;772
2013-05-12_19;10;6;52;707
2013-05-12_20;9;0;58;712
2013-05-12_21;9;4;66;702
2013-05-12_22;3;3;76;649
2013-05-12_23;2;2;62;590
2013-05-13_00;7;2;72;525
2013-05-13_01;5;2;55;505
2013-05-13_02;9;2;63;535
2013-05-13_03;1;3;50;510
2013-05-13_04;2;5;72;421
2013-05-13_05;9;6;72;451
2013-05-13_06;40;1;50;522
2013-05-13_07;42;2;86;593
2013-05-13_08;38;1;104;632
2013-05-13_09;40;0;110;655
2013-05-13_10;39;0;81;770
2013-05-13_11;13;3;54;353
